dataset,strategy,seed,n,coverage,coverage_deficit,mean_set_size,normalized_mean_set_size,p90_set_size,empty_rate,singleton_action_rate,no_decision_rate,action_accuracy,wrong_action_rate_all,top1_accuracy,valid_calibrator_rate
RotatedMNIST,global_seed,4,3000,0.8883333333333333,0.011666666666666714,0.8956666666666667,0.1492777777777778,1.0,0.10433333333333333,0.8956666666666667,0.10433333333333328,0.9918124302195758,0.007333333333333333,0.97,1.0
RotatedMNIST,stale_t0_seed,0,3000,0.8533333333333334,0.046666666666666634,0.8623333333333333,0.14372222222222222,1.0,0.13766666666666666,0.8623333333333333,0.13766666666666671,0.989563200618477,0.009,0.9666666666666667,1.0
RotatedMNIST,stale_t0_seed,1,3000,0.9373333333333334,0.0,0.9533333333333334,0.15888888888888889,1.0,0.04666666666666667,0.9533333333333334,0.046666666666666634,0.9832167832167832,0.016,0.9646666666666667,1.0
RotatedMNIST,stale_t0_seed,2,3000,0.9443333333333334,0.0,0.9616666666666667,0.1602777777777778,1.0,0.03833333333333333,0.9616666666666667,0.03833333333333333,0.9819757365684575,0.017333333333333333,0.9696666666666667,1.0
RotatedMNIST,stale_t0_seed,3,3000,0.8836666666666667,0.01633333333333331,0.892,0.14866666666666667,1.0,0.108,0.892,0.10799999999999998,0.9906576980568012,0.008333333333333333,0.9686666666666667,1.0
RotatedMNIST,stale_t0_seed,4,3000,0.7833333333333333,0.1166666666666667,0.786,0.131,1.0,0.214,0.786,0.21399999999999997,0.996607294317218,0.0026666666666666666,0.97,1.0
RotatedMNIST,oracle_task,0,3000,0.892,0.008000000000000007,0.9046666666666666,0.1507777777777778,1.0,0.09533333333333334,0.9046666666666666,0.09533333333333338,0.9859985261606485,0.012666666666666666,0.9666666666666667,1.0
RotatedMNIST,oracle_task,1,3000,0.918,0.0,0.932,0.15533333333333332,1.0,0.068,0.932,0.06799999999999995,0.9849785407725322,0.014,0.9646666666666667,1.0
RotatedMNIST,oracle_task,2,3000,0.9013333333333333,0.0,0.913,0.15216666666666667,1.0,0.087,0.913,0.08699999999999997,0.9872216137276378,0.011666666666666667,0.9696666666666667,1.0
RotatedMNIST,oracle_task,3,3000,0.9073333333333333,0.0,0.9196666666666666,0.1532777777777778,1.0,0.08033333333333334,0.9196666666666666,0.08033333333333337,0.9865893439652048,0.012333333333333333,0.9686666666666667,1.0
RotatedMNIST,oracle_task,4,3000,0.885,0.015000000000000013,0.8966666666666666,0.14944444444444444,1.0,0.10333333333333333,0.8966666666666666,0.10333333333333339,0.9869888475836431,0.011666666666666667,0.97,1.0
RotatedMNIST,inferred_bucket,0,3000,0.892,0.008000000000000007,0.9046666666666666,0.1507777777777778,1.0,0.09533333333333334,0.9046666666666666,0.09533333333333338,0.9859985261606485,0.012666666666666666,0.9666666666666667,1.0
RotatedMNIST,inferred_bucket,1,3000,0.918,0.0,0.932,0.15533333333333332,1.0,0.068,0.932,0.06799999999999995,0.9849785407725322,0.014,0.9646666666666667,1.0
RotatedMNIST,inferred_bucket,2,3000,0.9013333333333333,0.0,0.913,0.15216666666666667,1.0,0.087,0.913,0.08699999999999997,0.9872216137276378,0.011666666666666667,0.9696666666666667,1.0
RotatedMNIST,inferred_bucket,3,3000,0.9073333333333333,0.0,0.9196666666666666,0.1532777777777778,1.0,0.08033333333333334,0.9196666666666666,0.08033333333333337,0.9865893439652048,0.012333333333333333,0.9686666666666667,1.0
RotatedMNIST,inferred_bucket,4,3000,0.885,0.015000000000000013,0.8966666666666666,0.14944444444444444,1.0,0.10333333333333333,0.8966666666666666,0.10333333333333339,0.9869888475836431,0.011666666666666667,0.97,1.0
